Solution: A= 8.901, B=-2.483, ,c1=-0.10, c2=-0.40 ,Crash=5.57 days/2017-11-14 13:17:24, m=0.85  ,w=9.62. Cost=1.59089
Solution: A= 9.192, B=-2.644, ,c1=0.06, c2=-0.35 ,Crash=16.19 days/2017-12-11 04:14:07, m=0.81  ,w=11.35. Cost=1.62650
Solution: A= 9.252, B=-2.650, ,c1=0.09, c2=-0.34 ,Crash=41.60 days/2017-12-21 14:01:33, m=0.83  ,w=12.25. Cost=1.27959
Solution: A= 8.916, B=-2.490, ,c1=-0.10, c2=-0.40 ,Crash=5.91 days/2017-11-15 21:28:35, m=0.85  ,w=9.73. Cost=1.59534
Solution: A= 9.150, B=-2.596, ,c1=0.06, c2=-0.36 ,Crash=31.37 days/2017-12-16 08:36:13, m=0.87  ,w=11.87. Cost=1.45543
Solution: A= 8.897, B=-2.476, ,c1=-0.14, c2=-0.40 ,Crash=9.39 days/2017-11-16 08:55:03, m=0.86  ,w=9.86. Cost=1.69978
Solution: A= 9.168, B=-2.599, ,c1=0.05, c2=-0.37 ,Crash=31.04 days/2017-12-17 00:34:55, m=0.86  ,w=11.95. Cost=1.43771
Solution: A= 9.172, B=-2.613, ,c1=0.04, c2=-0.37 ,Crash=22.58 days/2017-12-11 13:35:43, m=0.82  ,w=11.46. Cost=1.45942
Solution: A= 8.968, B=-2.531, ,c1=-0.03, c2=-0.38 ,Crash=11.68 days/2017-11-23 15:57:58, m=0.86  ,w=10.10. Cost=1.87363
Solution: A= 9.140, B=-2.669, ,c1=0.07, c2=-0.31 ,Crash=18.14 days/2017-12-11 03:03:35, m=0.87  ,w=11.32. Cost=2.00516
Solution: A= 9.164, B=-2.667, ,c1=0.08, c2=-0.32 ,Crash=16.14 days/2017-12-11 02:59:42, m=0.85  ,w=11.29. Cost=1.93420
Solution: A= 8.939, B=-2.581, ,c1=-0.00, c2=-0.34 ,Crash=12.86 days/2017-11-21 20:22:33, m=0.90  ,w=9.90. Cost=2.23499
Solution: A= 9.268, B=-2.642, ,c1=0.06, c2=-0.34 ,Crash=42.02 days/2017-12-23 00:06:23, m=0.82  ,w=12.47. Cost=1.25968
Solution: A= 9.127, B=-2.683, ,c1=0.05, c2=-0.30 ,Crash=20.28 days/2017-12-12 06:18:01, m=0.90  ,w=11.48. Cost=2.08063
Solution: A= 9.193, B=-2.619, ,c1=0.07, c2=-0.35 ,Crash=37.00 days/2017-12-18 23:35:31, m=0.86  ,w=12.06. Cost=1.42409
Solution: A= 9.156, B=-2.640, ,c1=0.07, c2=-0.34 ,Crash=18.12 days/2017-12-10 02:26:24, m=0.84  ,w=11.23. Cost=1.76868
Solution: A= 9.265, B=-2.712, ,c1=0.14, c2=-0.26 ,Crash=48.35 days/2017-12-29 08:00:41, m=0.90  ,w=12.74. Cost=1.86765
Solution: A= 9.214, B=-2.660, ,c1=0.11, c2=-0.32 ,Crash=40.72 days/2017-12-20 16:57:32, m=0.87  ,w=12.09. Cost=1.59517
Solution: A= 9.205, B=-2.645, ,c1=0.12, c2=-0.34 ,Crash=39.74 days/2017-12-18 17:21:05, m=0.85  ,w=11.90. Cost=1.32903
Solution: A= 9.141, B=-2.605, ,c1=0.07, c2=-0.35 ,Crash=31.89 days/2017-12-15 20:56:12, m=0.88  ,w=11.79. Cost=1.53809
Solution: A= 9.143, B=-2.602, ,c1=0.06, c2=-0.36 ,Crash=30.93 days/2017-12-15 21:54:16, m=0.88  ,w=11.80. Cost=1.50641
Solution: A= 9.289, B=-2.687, ,c1=0.19, c2=-0.24 ,Crash=46.15 days/2018-01-03 03:22:17, m=0.90  ,w=13.00. Cost=1.79504
Solution: A= 9.219, B=-2.649, ,c1=0.12, c2=-0.32 ,Crash=47.09 days/2017-12-24 01:42:26, m=0.88  ,w=12.37. Cost=1.52166
Solution: A= 9.177, B=-2.613, ,c1=0.03, c2=-0.37 ,Crash=21.02 days/2017-12-11 00:03:30, m=0.82  ,w=11.43. Cost=1.48781
Solution: A= 8.913, B=-2.478, ,c1=-0.15, c2=-0.39 ,Crash=4.95 days/2017-11-15 22:34:03, m=0.85  ,w=9.84. Cost=1.73274
Solution: A= 9.240, B=-2.646, ,c1=0.09, c2=-0.34 ,Crash=42.39 days/2017-12-21 09:06:04, m=0.84  ,w=12.23. Cost=1.40013
Solution: A= 9.174, B=-2.613, ,c1=0.04, c2=-0.37 ,Crash=22.70 days/2017-12-11 16:20:11, m=0.82  ,w=11.48. Cost=1.49208
Solution: A= 9.182, B=-2.612, ,c1=0.03, c2=-0.37 ,Crash=21.36 days/2017-12-11 08:23:22, m=0.81  ,w=11.48. Cost=1.47782
Solution: A= 9.300, B=-2.730, ,c1=0.16, c2=-0.23 ,Crash=43.25 days/2018-01-02 05:37:12, m=0.90  ,w=12.95. Cost=2.00238
