Date;High;Low;Close;Average;Total;Turnover;Trades
1997-09-15;622,410;622,410;622,410;;;;0
1997-09-12;613,330;613,330;613,330;;;;0
1997-09-11;617,420;617,420;617,420;;;;0
1997-09-10;628,300;628,300;628,300;;;;0
1997-09-09;633,000;633,000;633,000;;;;0
1997-09-08;627,350;627,350;627,350;;;;0
1997-09-05;616,610;616,610;616,610;;;;0
1997-09-04;621,510;621,510;621,510;;;;0
1997-09-03;622,600;622,600;622,600;;;;0
1997-09-02;630,300;630,300;630,300;;;;0
1997-09-01;615,420;615,420;615,420;;;;0
1997-08-29;605,170;605,170;605,170;;;;0
1997-08-28;611,820;611,820;611,820;;;;0
1997-08-27;619,010;619,010;619,010;;;;0
1997-08-26;619,400;619,400;619,400;;;;0
1997-08-25;624,660;624,660;624,660;;;;0
1997-08-22;629,150;629,150;629,150;;;;0
1997-08-21;645,140;645,140;645,140;;;;0
1997-08-20;653,140;653,140;653,140;;;;0
1997-08-19;647,990;647,990;647,990;;;;0
1997-08-18;635,190;635,190;635,190;;;;0
1997-08-15;638,310;638,310;638,310;;;;0
1997-08-14;651,100;651,100;651,100;;;;0
1997-08-13;651,160;651,160;651,160;;;;0
1997-08-12;667,660;667,660;667,660;;;;0
1997-08-11;664,350;664,350;664,350;;;;0
1997-08-08;661,150;661,150;661,150;;;;0
1997-08-07;673,140;673,140;673,140;;;;0
1997-08-06;663,030;663,030;663,030;;;;0
1997-08-05;649,370;649,370;649,370;;;;0
1997-08-04;644,000;644,000;644,000;;;;0
1997-08-01;647,520;647,520;647,520;;;;0
1997-07-31;647,060;647,060;647,060;;;;0
1997-07-30;657,140;657,140;657,140;;;;0
1997-07-29;645,680;645,680;645,680;;;;0
1997-07-28;650,490;650,490;650,490;;;;0
1997-07-25;652,320;652,320;652,320;;;;0
1997-07-24;649,840;649,840;649,840;;;;0
1997-07-23;651,280;651,280;651,280;;;;0
1997-07-22;645,240;645,240;645,240;;;;0
1997-07-21;631,400;631,400;631,400;;;;0
1997-07-18;637,720;637,720;637,720;;;;0
1997-07-17;648,870;648,870;648,870;;;;0
1997-07-16;655,670;655,670;655,670;;;;0
1997-07-15;644,380;644,380;644,380;;;;0
1997-07-14;647,950;647,950;647,950;;;;0
1997-07-11;640,810;640,810;640,810;;;;0
1997-07-10;631,290;631,290;631,290;;;;0
1997-07-09;639,800;639,800;639,800;;;;0
1997-07-08;634,650;634,650;634,650;;;;0
1997-07-07;632,330;632,330;632,330;;;;0
1997-07-04;622,090;622,090;622,090;;;;0
