Date,Fit1,Fit2,Fit3,Index
229.0,3689.235513827083,3815.014704458078,3834.3822760501384,4160.619999999999
230.0,3747.571903188249,3873.844703805399,3893.188994117537,4193.699999999997
231.0,3804.044790732087,3930.397546365759,3949.5996515781576,4087.6599999999985
232.0,3858.283430276495,3984.2916493254875,4003.231767966614,4001.740000000001
233.0,3909.9275739343675,4035.1625157991048,4053.7218106115356,4100.5199999999995
234.0,3958.6341036549634,4082.6699382642914,4100.732482299933,4151.52
235.0,4004.083864797974,4126.505246005429,4143.960000867481,4334.679999999998
236.0,4045.9885298777467,4166.398396126774,4183.141165098721,4371.600000000001
237.0,4084.097304354059,4202.124697479502,4218.05999340388,4352.399999999998
238.0,4118.203277144299,4233.510955521868,4248.553723073135,4382.879999999998
239.0,4148.149217606865,4260.4408345692045,4274.5179692166785,4382.660000000001
240.0,4173.832628895272,4282.85925238885,4295.91086389947,4579.020000000004
241.0,4195.209885076637,4300.775650300421,4312.756026922741,4565.299999999997
242.0,4212.299305915985,4314.266018817382,4325.14425895745,4703.389999999998
243.0,4225.183057787724,4323.473602720522,4333.2338934279705,4892.010000000001
244.0,4234.0078102209445,4328.60825803076,4337.249793276643,4578.770000000004
245.0,4238.984123023553,4329.944483968481,4337.481029737673,4582.96
246.0,4240.3845862752105,4327.818202736161,4334.277329566524,4236.310000000001
247.0,4238.540782021304,4322.622405910039,4328.044421906737,4376.529999999998
248.0,4233.839179506397,4314.801825646897,4319.2384534970115,4597.120000000001
249.0,4226.716112702425,4304.8468194865545,4308.3596690554,4599.880000000003
250.0,4217.652017532075,4293.286677520227,4295.945570873745,4228.75
251.0,4207.165124908001,4280.682569054939,4282.563777078176,4226.060000000002
252.0,4195.804813489195,4267.6203423382185,4268.804791575727,4122.939999999998
253.0,4184.144822572457,4254.703375850214,4255.274881045647,4161.270000000002
254.0,4172.776511147439,4242.545654217711,4242.589226705357,4130.809999999998
255.0,4162.302324819447,4231.765207585178,4231.365482737019,3882.5900000000024
256.0,4153.329599523051,4222.978012302949,4222.217831281413,3154.949999999997
257.0,4146.464791551711,4216.79240528567,4215.751578036016,3637.5200000000013
258.0,4142.30817946713,4213.804016639009,4212.558284988726,3625.040000000001
259.0,4141.449037049421,4214.591177361993,4213.211389819569,3582.8800000000024
260.0,4144.46122967967,4219.710713161092,4218.262216965827,4065.199999999998
261.0,4151.899141361505,4229.693993525448,4228.236245010406,3924.969999999997
262.0,4164.293797786022,4245.043068896303,4243.629460470543,3905.9500000000003
263.0,4182.149014095244,4266.226699599959,4264.904600670006,3631.0399999999977
264.0,4205.937365919429,4293.676059776714,4292.487069601291,3630.7000000000003
265.0,4236.095760524214,4327.779889530802,4326.760302075702,3792.3999999999996
266.0,4273.020373369335,4368.878870899014,4368.060354815713,3682.840000000002
267.0,4317.060716241918,4417.2590202913425,4416.669520604279,3926.0699999999997
268.0,4368.51261900999,4473.14392448207,4472.808795687361,3892.3500000000004
269.0,4427.609941046273,4536.685702032505,4536.629084157156,4200.670000000001
270.0,4494.5148840112415,4607.954650325533,4608.201098970176,4174.729999999999
271.0,4569.306858658209,4686.9276430276195,4687.504020263352,4163.070000000002
272.0,4651.969968100852,4773.475475717754,4774.41309958042,4338.710000000002
273.0,4742.379311133046,4867.349518866636,4868.686553752661,4403.739999999999
274.0,4840.286482452396,4968.168224781841,4969.952272141432,4409.3200000000015
275.0,4945.304849748708,5075.404242092333,5077.695059708747,4317.479999999996
276.0,5056.895413968694,5188.373106277094,5191.2453451247,4229.3600000000015
277.0,5174.354296350787,5306.2246801025585,5309.77048141462,4328.410000000002
278.0,5296.803124933246,5427.93868973031,5432.269934090324,4370.810000000003
279.0,5423.183787772093,5552.325811039811,5557.575760444832,4426.8899999999985
280.0,5552.259146910654,5678.035772849999,5684.359802120949,4610.48
281.0,5682.621328355218,5803.57382528284,5811.148909021923,4772.019999999997
282.0,5812.709080214438,5927.326643252801,5936.3492580659795,4781.99
283.0,5940.835390002699,6047.598278911461,6058.280407221015,4826.480000000002
284.0,6065.226051514792,6162.656142945609,6175.21913233143,5446.909999999996
285.0,6184.069170849171,6270.786207603307,6285.452352734405,5647.210000000004
286.0,6295.574727330114,6370.355737493145,6387.337609407047,5831.7900000000045
287.0,6398.042318358121,6459.880949405428,6479.3686911496525,5678.1900000000005
288.0,6489.934210640623,6538.09618445002,6560.24320706065,5725.59
289.0,6569.949913364126,6604.020560784832,6628.928286169779,5605.509999999996
290.0,6637.09781409535,6657.017773449226,6684.720252989685,5590.689999999999
291.0,6690.75910092775,6696.84480382044,6727.294164474953,5708.519999999996
292.0,6730.739329505902,6723.6858342997375,6756.739542938036,6011.449999999999
293.0,6757.3036229476775,6738.168613960337,6773.579490365789,6031.5999999999985
294.0,6771.192588993202,6741.361803730368,6778.771551982052,6008.4199999999955
295.0,6773.617500286231,6734.753303546122,6773.690085443014,5930.319999999996
296.0,6766.234943532418,6720.211048416286,6760.091322083298,5526.640000000004
297.0,6751.10279180206,6699.929063937372,6740.063598599567,5750.800000000005
298.0,6730.620772094178,6676.362522757643,6715.966225442871,5904.830000000004
299.0,6707.459894542545,6652.156017832062,6690.361016120529,5780.9
300.0,6684.485445702854,6630.069208935427,6665.9405631640575,5753.090000000005
301.0,6664.678070558783,6612.903422193938,6645.456913004551,6153.849999999999
302.0,6651.056705163432,6603.431772125815,6631.653428774527,6130.529999999994
303.0,6646.605878534907,6604.334067073948,6627.201453117109,6468.400000000003
304.0,6654.208338406614,6618.136318199595,6634.642040238159,6767.310000000005
305.0,6676.582262251792,6647.153277628453,6656.331678586729,7078.500000000003
306.0,6716.220695513174,6693.43126048994,6694.389732827201,7207.760000000002
307.0,6775.329516045623,6758.687731385755,6750.644449449384,7379.950000000006
308.0,6855.759360429122,6844.243929813683,6826.5739424686735,7407.409999999999
309.0,6958.926776232006,6950.947346831808,6923.238752921052,7022.759999999997
310.0,7085.720616313637,7079.082324901915,7041.203511446322,7144.3800000000065
311.0,7236.391617209903,7228.269595105322,7180.447077201542,7459.689999999996
312.0,7410.426443206692,7397.359283658284,7340.263396153606,7143.5800000000045
313.0,7606.412384711251,7584.326749269455,7519.159242490745,6618.140000000004
314.0,7821.905309171491,7786.186211000125,7714.759818046515,6357.599999999997
315.0,8053.320906377637,7998.94273631148,7923.738425199863,5950.069999999995
316.0,8295.876675329937,8217.607521352642,8141.791231699545,6559.490000000004
317.0,8543.617661811519,8436.302785038954,8363.681200431594,6635.749999999998
318.0,8789.560207844623,8648.479082851045,8583.37491557901,7315.539999999995
319.0,9025.982206527395,8847.25782616305,8794.29063817755,7871.689999999998
320.0,9244.873462511894,9025.894780282211,8989.664356460946,7708.989999999998
321.0,9438.535421376988,9178.337741961717,9163.023006083822,7790.149999999993
322.0,9600.288375986947,9299.827281056096,9308.732451763703,8036.490000000004
323.0,9725.212363612958,9387.469249886995,9422.566344234845,8200.639999999998
324.0,9810.82407117062,9440.698291710694,9502.226176205313,8071.259999999995
325.0,9857.585172999497,9461.557851924023,9547.738352759987,8253.550000000005
326.0,9869.153418432326,9454.745353101558,9561.66443453669,8038.770000000004
327.0,9852.325788671757,9427.407108521367,9549.085595476405,8253.69
328.0,9816.674772537595,9388.707352786192,9517.356827185638,8790.92
329.0,9773.930059741237,9349.228446917492,9475.661946176258,9330.549999999994
330.0,9737.193352517505,9320.275452561418,9434.427388036092,9818.350000000008
331.0,9720.082604603273,9313.15340454245,9404.663647368623,10058.800000000001
332.0,9735.881293937337,9338.461828427393,9397.29531577176,9888.61
333.0,9796.725098338133,9405.416405591648,9422.516870615727,10233.599999999995
334.0,9912.806609929068,9521.17418857452,9489.179297020622,10975.599999999997
335.0,10091.536656608732,9690.120142720576,9604.182751477863,11074.599999999995
336.0,10336.588301587157,9913.082744085616,9771.834266772725,11323.200000000004
337.0,10646.786831809859,10186.496617941682,9993.138130251993,11657.199999999999
338.0,11014.913211731326,10501.62613066759,10265.029533130664,11916.699999999997
339.0,11426.663915126872,10844.095465193526,10579.643943601171,14291.49999999999
340.0,11860.228334408423,11194.09986034327,10923.828072351695,17899.700000000004
341.0,12287.120548656103,11527.72479606919,11279.213871563605,16569.400000000005
342.0,12674.886812724837,11819.677588373832,11623.23580401777,15178.200000000008
343.0,12991.943841516346,12047.371385537535,11931.39335520916,15455.400000000001
344.0,13214.042409995545,12195.739800011906,12180.781444109156,16936.800000000003
345.0,13330.916988192252,12261.614904762704,12354.447893342765,17415.399999999994
346.0,13351.072992778045,12256.295781184923,12445.640510549058,16408.2
347.0,13302.890552685603,12205.300317747484,12460.737031030456,16564.00000000001
348.0,13231.369860518846,12145.140520861143,12419.83791326722,17706.90000000001
