"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2007","5,409.40","5,338.11","5,411.19","5,306.82","5.89B","1.33%"
"Sep 28, 2007","5,552.30","5,461.58","5,560.42","5,461.58","8.06B","2.64%"
"Oct 08, 2007","5,692.76","5,683.31","5,729.96","5,620.00","9.60B","2.53%"
"Oct 09, 2007","5,715.89","5,678.91","5,725.41","5,628.35","8.33B","0.41%"
"Oct 10, 2007","5,771.46","5,742.65","5,860.86","5,727.24","9.24B","0.97%"
"Oct 11, 2007","5,913.23","5,798.39","5,914.77","5,755.99","9.47B","2.46%"
"Oct 12, 2007","5,903.26","5,950.90","5,959.36","5,658.81","11.91B","-0.17%"
"Oct 15, 2007","6,030.09","5,934.77","6,039.04","5,866.13","9.87B","2.15%"
"Oct 16, 2007","6,092.06","6,056.95","6,124.04","6,040.71","8.82B","1.03%"
"Oct 17, 2007","6,036.28","6,057.43","6,088.89","5,982.20","7.13B","-0.92%"
"Oct 18, 2007","5,825.28","6,031.92","6,055.47","5,804.97","6.98B","-3.50%"
"Oct 19, 2007","5,818.05","5,869.12","5,932.11","5,766.86","5.52B","-0.12%"
"Oct 22, 2007","5,667.33","5,742.79","5,804.84","5,654.91","5.44B","-2.59%"
"Oct 23, 2007","5,773.39","5,660.07","5,776.02","5,574.84","5.85B","1.87%"
"Oct 24, 2007","5,843.11","5,804.02","5,906.69","5,793.56","6.03B","1.21%"
"Oct 25, 2007","5,562.39","5,794.22","5,819.88","5,546.04","7.17B","-4.80%"
"Oct 26, 2007","5,589.63","5,498.86","5,628.83","5,462.01","5.15B","0.49%"
"Oct 29, 2007","5,748.00","5,641.98","5,750.25","5,617.98","5.02B","2.83%"
"Oct 30, 2007","5,897.19","5,769.20","5,899.65","5,701.34","5.43B","2.60%"
"Oct 31, 2007","5,954.77","5,984.71","6,002.12","5,871.48","7.10B","0.98%"
"Nov 01, 2007","5,914.28","5,978.94","6,005.13","5,912.50","6.49B","-0.68%"
"Nov 02, 2007","5,777.81","5,812.47","5,860.59","5,740.40","5.95B","-2.31%"
"Nov 05, 2007","5,634.45","5,748.18","5,787.23","5,603.47","6.41B","-2.48%"
"Nov 06, 2007","5,536.57","5,593.35","5,649.75","5,510.16","4.51B","-1.74%"
"Nov 07, 2007","5,601.78","5,565.65","5,610.95","5,469.76","4.27B","1.18%"
"Nov 08, 2007","5,330.02","5,559.15","5,559.15","5,328.20","4.89B","-4.85%"
"Nov 09, 2007","5,315.54","5,276.01","5,382.70","5,217.63","4.73B","-0.27%"
